求和项:pnl,列标签,,,,,,,,,,
行标签,Cn.Id807035.All_AN,Cn.Id807035.All_BN,Cn.Id807035.All_CN,Cn.Id807035.All_MN,CnCom.Id807035.CalArbAll2,CnCom.Id807035.CalArbAll2N,Id807035.MFA_T0_A,Id807035.MFA_T0_B,Id807035.MFA_T0_C,Id807035.MFA_T0_M,总计
2019/5/13,20189.4375,26891.9613,-17790.50053,-9084.45318,-53220.65077,55942.27,-50780.3925,11080.02619,29464.62805,-73566.80448,-60874.47843
2019/5/14,17997.3875,23517.9827,-12711.97053,-11162.25318,-51755.65077,55495.27,-51708.7625,16774.22811,24862.75999,-76824.31388,-65515.32257
2019/5/15,18073.2625,20456.78555,-10153.58353,-14054.50318,-56126.61735,55129.02,-59970.96,9102.734855,26716.8524,-81177.66363,-92004.67239
2019/5/16,17546.0125,23288.84235,-7555.053525,-13729.50318,-56449.49235,49958.77,-57475.9575,13111.68559,38557.54332,-82529.04248,-75276.19528
2019/5/17,18306.0125,25198.84235,-5145.053525,-13239.50318,-57874.76957,49324.27,-58384.6825,25344.88039,35026.50388,-78846.09248,-60289.59214
2019/5/20,19266.0125,16790.62195,-1115.053525,-14373.40318,-57329.18417,49004.27,-60236.0325,27975.71042,34747.63497,-79775.33998,-65044.76353
2019/5/21,17891.9875,26637.8865,278.045275,-16072.30318,-58748.33135,47724.27,-59613.7825,29283.92572,32793.09477,-81044.43998,-60869.64725
2019/5/22,19391.9875,24767.8865,278.045275,-15725.45318,-63142.45635,46077.02,-54134.7325,28428.29577,33279.13764,-87134.53998,-67914.80934
2019/5/23,20171.9875,25147.8865,278.045275,-15030.65318,-61810.33135,46529.145,-57446.6325,17304.19742,33002.8457,-85217.33998,-77070.84963
2019/5/24,19575.2375,29467.8865,278.045275,-19510.30318,-61630.33135,46209.145,-54547.5825,10665.55667,30072.3373,-85021.43998,-84441.44878
2019/5/27,20135.2375,29907.8865,278.045275,-18660.30318,-65470.42635,45676.645,-54029.4825,12515.09782,20413.22989,-82721.43998,-91955.51003
2019/5/28,19468.9875,25229.1936,278.045275,-20039.20318,-66869.20785,47374.645,-55401.6325,14856.60512,18987.3347,-84849.23998,-100964.4723
2019/5/29,18692.2375,24699.34986,278.045275,-19909.20318,-59613.40785,47771.02,-42681.6325,2907.45162,23050.19429,-88448.33998,-93254.28497
总计,,,,,,,,,,,
